device_time_stamp,system_time_stamp,left_gaze_point_on_display_area,left_gaze_point_in_user_coordinate_system,left_gaze_point_validity,left_pupil_diameter,left_pupil_validity,left_gaze_origin_in_user_coordinate_system,left_gaze_origin_in_trackbox_coordinate_system,left_gaze_origin_validity,right_gaze_point_on_display_area,right_gaze_point_in_user_coordinate_system,right_gaze_point_validity,right_pupil_diameter,right_pupil_validity,right_gaze_origin_in_user_coordinate_system,right_gaze_origin_in_trackbox_coordinate_system,right_gaze_origin_validity,timestamp
1826121538,1031530309043,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-156.15589904785156, -84.00967407226562, 856.4854125976562)","(0.7553471326828003, 0.6632326245307922, 0.9492965340614319)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401674
1826132641,1031530320148,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-156.15611267089844, -84.01129150390625, 856.4855346679688)","(0.7553474307060242, 0.663236141204834, 0.9492971301078796)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401684
1826143744,1031530331251,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-155.33628845214844, -83.99227142333984, 853.9501342773438)","(0.7547550201416016, 0.6637533903121948, 0.9440354108810425)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401696
1826154847,1031530342355,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-154.64947509765625, -83.75782775878906, 850.1302490234375)","(0.7547704577445984, 0.6640682816505432, 0.9362640380859375)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401707
1826165951,1031530353459,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-154.6497039794922, -83.75945281982422, 850.1303100585938)","(0.754770815372467, 0.6640718579292297, 0.9362646341323853)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401718
1826177054,1031530364562,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-154.3832550048828, -84.56590270996094, 852.749755859375)","(0.7535390853881836, 0.6653062105178833, 0.9414565563201904)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401729
1826188157,1031530375664,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-153.28857421875, -84.72886657714844, 850.5223999023438)","(0.7523881196975708, 0.6661760210990906, 0.9367380142211914)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401740
1826199260,1031530386767,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-153.97857666015625, -85.52947235107422, 857.3844604492188)","(0.7514825463294983, 0.6664459109306335, 0.9505801796913147)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401752
1826210363,1031530397871,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-153.9788055419922, -85.53107452392578, 857.3846435546875)","(0.7514829039573669, 0.6664494276046753, 0.9505810737609863)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401763
1826221466,1031530408979,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-153.90386962890625, -86.00475311279297, 858.2650146484375)","(0.751102089881897, 0.6673064231872559, 0.9523720741271973)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401798
1826232569,1031530420086,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-153.82345581054688, -86.094482421875, 858.5192260742188)","(0.7508941888809204, 0.6674509048461914, 0.9528595209121704)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401799
1826243672,1031530431194,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-153.8236846923828, -86.09608459472656, 858.5194091796875)","(0.7508945465087891, 0.6674543619155884, 0.9528603553771973)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401799
1826254776,1031530442302,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-153.56825256347656, -86.36547088623047, 859.8387451171875)","(0.750082790851593, 0.6677666306495667, 0.9554086923599243)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401814
1826265879,1031530453406,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(-153.68191528320312, -86.617431640625, 861.853515625)","(0.7496771216392517, 0.6678807139396667, 0.9594455361366272)",1,"(nan, nan)","(nan, nan, nan)",0,nan,0,"(nan, nan, nan)","(nan, nan, nan)",0,1706620401818
